record_id,user_id,exercise_type,exercise_date,duration_minutes,calories_burned,average_heart_rate,max_heart_rate,equipment_used,created_at
1,1,普拉提,2025-09-16,71,375.2,147,165,哑铃,2025-09-16T09:32:47.553861
2,1,游泳,2025-12-29,29,311.9,119,140,哑铃,2025-12-29T09:32:47.553861
3,1,拳击,2025-08-19,36,448.1,135,151,动感单车,2025-08-19T09:32:47.553861
4,1,游泳,2025-04-20,70,816.5,145,167,杠铃,2025-04-20T09:32:47.553861
5,1,跑步,2025-06-09,42,423.3,130,148,杠铃,2025-06-09T09:32:47.553861
6,1,划船机,2025-07-18,22,213.3,149,177,椭圆机,2025-07-18T09:32:47.553861
7,1,拳击,2025-09-01,104,1231.7,135,154,动感单车,2025-09-01T09:32:47.553861
8,1,爬楼机,2025-08-29,92,1006.0,145,160,跑步机,2025-08-29T09:32:47.553861
9,1,力量训练,2025-10-15,56,435.6,124,149,杠铃,2025-10-15T09:32:47.553861
10,1,瑜伽,2025-08-18,75,317.6,135,145,杠铃,2025-08-18T09:32:47.553861
11,1,力量训练,2025-03-14,105,814.6,118,135,动感单车,2025-03-14T09:32:47.553861
12,1,普拉提,2025-06-28,58,299.7,139,162,龙门架,2025-06-28T09:32:47.553861
13,1,力量训练,2025-08-24,45,390.6,117,138,瑜伽垫,2025-08-24T09:32:47.553861
14,1,普拉提,2025-09-19,103,502.5,125,139,瑜伽垫,2025-09-19T09:32:47.553861
15,1,普拉提,2025-11-02,117,559.3,139,162,跑步机,2025-11-02T09:32:47.553861
16,1,瑜伽,2025-11-19,107,435.2,128,148,椭圆机,2025-11-19T09:32:47.553861
17,1,跑步,2025-04-26,109,1158.4,120,147,椭圆机,2025-04-26T09:32:47.553861
18,1,瑜伽,2025-11-07,23,88.4,144,154,拳击沙袋,2025-11-07T09:32:47.553861
19,1,瑜伽,2025-07-22,41,164.9,127,144,瑜伽垫,2025-07-22T09:32:47.553861
20,1,瑜伽,2025-08-07,46,185.3,117,129,动感单车,2025-08-07T09:32:47.553861
21,1,跑步,2025-12-27,90,927.2,144,161,动感单车,2025-12-27T09:32:47.553861
22,1,拳击,2025-06-22,76,976.4,139,162,史密斯机,2025-06-22T09:32:47.553861
23,1,划船机,2025-05-25,83,783.0,116,127,哑铃,2025-05-25T09:32:47.553861
24,1,瑜伽,2025-10-07,120,510.5,146,164,动感单车,2025-10-07T09:32:47.553861
25,1,普拉提,2025-11-24,67,345.9,138,166,哑铃,2025-11-24T09:32:47.553861
26,1,划船机,2025-06-05,120,1191.1,125,139,史密斯机,2025-06-05T09:32:47.553861
27,1,力量训练,2025-04-09,68,523.4,143,164,哑铃,2025-04-09T09:32:47.553861
28,1,瑜伽,2026-01-07,38,160.5,140,156,哑铃,2026-01-07T09:32:47.553861
29,1,力量训练,2025-02-27,80,644.1,149,163,划船机,2025-02-27T09:32:47.553861
30,1,游泳,2025-09-13,43,459.4,144,166,跑步机,2025-09-13T09:32:47.553861
31,1,普拉提,2025-05-24,100,503.5,137,167,史密斯机,2025-05-24T09:32:47.553861
32,1,跑步,2025-04-12,20,192.7,134,147,瑜伽垫,2025-04-12T09:32:47.553861
33,1,爬楼机,2025-10-18,76,861.1,150,167,椭圆机,2025-10-18T09:32:47.553861
34,1,爬楼机,2025-08-07,98,1154.9,111,138,椭圆机,2025-08-07T09:32:47.553861
35,1,拳击,2025-11-24,25,343.3,121,133,椭圆机,2025-11-24T09:32:47.553861
36,1,力量训练,2025-11-30,45,369.7,134,148,拳击沙袋,2025-11-30T09:32:47.553861
37,1,爬楼机,2025-11-29,93,1042.8,149,176,动感单车,2025-11-29T09:32:47.553861
38,1,跑步,2025-11-06,113,1167.3,131,157,龙门架,2025-11-06T09:32:47.553861
39,1,跑步,2025-07-13,50,477.8,127,138,划船机,2025-07-13T09:32:47.553861
40,1,力量训练,2025-07-13,65,545.7,148,170,跑步机,2025-07-13T09:32:47.553861
41,1,爬楼机,2025-08-09,110,1243.4,136,162,史密斯机,2025-08-09T09:32:47.553861
42,1,拳击,2025-06-29,81,1090.8,138,167,瑜伽垫,2025-06-29T09:32:47.553861
43,1,普拉提,2025-07-04,103,558.5,130,159,划船机,2025-07-04T09:32:47.553861
44,1,动感单车,2025-10-09,95,1242.3,123,142,史密斯机,2025-10-09T09:32:47.553861
45,1,普拉提,2025-12-28,76,382.2,136,151,史密斯机,2025-12-28T09:32:47.553861
46,1,游泳,2025-09-23,84,890.6,112,137,瑜伽垫,2025-09-23T09:32:47.553861
47,1,动感单车,2025-12-09,79,955.6,130,158,史密斯机,2025-12-09T09:32:47.553861
48,1,爬楼机,2025-11-01,59,680.6,139,154,史密斯机,2025-11-01T09:32:47.553861
49,1,普拉提,2025-09-07,61,335.2,135,150,史密斯机,2025-09-07T09:32:47.553861
50,1,普拉提,2025-11-21,87,469.4,124,153,动感单车,2025-11-21T09:32:47.553861
51,1,游泳,2025-11-23,32,385.4,125,142,拳击沙袋,2025-11-23T09:32:47.553861
52,1,跑步,2025-10-21,79,832.2,122,147,拳击沙袋,2025-10-21T09:32:47.553861
53,1,爬楼机,2025-10-07,103,1167.8,117,143,动感单车,2025-10-07T09:32:47.553861
54,1,爬楼机,2025-11-01,75,886.5,139,149,椭圆机,2025-11-01T09:32:47.553861
55,1,力量训练,2025-07-23,108,903.2,129,151,瑜伽垫,2025-07-23T09:32:47.553861
56,1,游泳,2025-03-29,108,1195.1,116,133,杠铃,2025-03-29T09:32:47.553861
57,2,力量训练,2025-11-13,64,464.3,128,155,杠铃,2025-11-13T09:32:47.554088
58,2,划船机,2025-10-15,27,248.1,150,171,划船机,2025-10-15T09:32:47.554088
59,2,力量训练,2025-07-07,62,469.6,114,130,动感单车,2025-07-07T09:32:47.554088
60,2,跑步,2025-12-14,61,661.8,111,131,拳击沙袋,2025-12-14T09:32:47.554088
61,2,跑步,2026-01-18,114,1153.0,131,158,杠铃,2026-01-18T09:32:47.554088
62,2,拳击,2025-10-21,84,1075.5,115,135,史密斯机,2025-10-21T09:32:47.554088
63,2,椭圆机,2025-09-13,53,467.9,133,162,杠铃,2025-09-13T09:32:47.554088
64,2,瑜伽,2025-10-21,36,155.3,130,152,瑜伽垫,2025-10-21T09:32:47.554088
65,2,跑步,2026-01-10,92,836.1,135,154,哑铃,2026-01-10T09:32:47.554088
66,2,力量训练,2025-08-21,39,313.1,127,139,瑜伽垫,2025-08-21T09:32:47.554088
67,2,拳击,2025-12-11,81,989.5,133,156,动感单车,2025-12-11T09:32:47.554088
68,2,动感单车,2025-08-24,97,1174.6,122,134,椭圆机,2025-08-24T09:32:47.554088
69,2,跑步,2025-11-11,47,440.9,112,129,龙门架,2025-11-11T09:32:47.554088
70,2,拳击,2025-06-09,71,874.8,141,164,拳击沙袋,2025-06-09T09:32:47.554088
71,2,动感单车,2025-12-24,51,601.9,139,149,史密斯机,2025-12-24T09:32:47.554088
72,2,瑜伽,2025-09-26,71,260.3,150,177,哑铃,2025-09-26T09:32:47.554088
73,2,拳击,2025-06-20,90,1267.7,127,156,拳击沙袋,2025-06-20T09:32:47.554088
74,2,动感单车,2025-09-07,102,1269.7,141,171,划船机,2025-09-07T09:32:47.554088
75,2,椭圆机,2025-08-22,117,1075.7,114,131,杠铃,2025-08-22T09:32:47.554088
76,2,拳击,2025-09-18,114,1580.2,146,172,瑜伽垫,2025-09-18T09:32:47.554088
77,2,游泳,2025-12-02,81,821.4,121,144,杠铃,2025-12-02T09:32:47.554088
78,2,力量训练,2025-10-25,56,473.8,146,175,划船机,2025-10-25T09:32:47.554088
79,2,跑步,2025-12-06,104,948.6,150,173,划船机,2025-12-06T09:32:47.554088
80,2,拳击,2025-10-31,45,617.5,110,128,拳击沙袋,2025-10-31T09:32:47.554088
81,2,拳击,2025-07-15,94,1336.2,149,172,史密斯机,2025-07-15T09:32:47.554088
82,2,普拉提,2025-09-03,85,428.4,128,139,龙门架,2025-09-03T09:32:47.554088
83,2,游泳,2025-08-19,31,359.8,112,137,龙门架,2025-08-19T09:32:47.554088
84,2,游泳,2025-08-24,119,1223.6,148,160,跑步机,2025-08-24T09:32:47.554088
85,2,椭圆机,2025-12-12,61,529.8,111,139,动感单车,2025-12-12T09:32:47.554088
86,2,动感单车,2025-06-08,91,1179.5,118,132,动感单车,2025-06-08T09:32:47.554088
87,2,力量训练,2025-10-10,45,379.1,131,149,椭圆机,2025-10-10T09:32:47.554088
88,2,椭圆机,2025-08-14,21,183.2,139,149,杠铃,2025-08-14T09:32:47.554088
89,2,划船机,2025-10-11,91,834.5,110,125,划船机,2025-10-11T09:32:47.554088
90,2,游泳,2025-10-07,38,427.8,148,168,动感单车,2025-10-07T09:32:47.554088
91,2,普拉提,2026-01-15,59,282.2,139,163,龙门架,2026-01-15T09:32:47.554088
92,2,椭圆机,2025-10-27,61,511.8,110,133,龙门架,2025-10-27T09:32:47.554088
